,datetime,close,high,low,open,volume,instrument,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2014-01-24 00:00:00,114.0,115.35,113.0,113.15,5737135,HINDALCO,0.0,1,,,,,0.02,0
1,2014-01-27 00:00:00,111.1,112.7,109.3,112.0,8724577,HINDALCO,,1,,,,226.05,0.04,0
2,2014-01-28 00:00:00,113.8,115.0,109.75,110.0,4513345,HINDALCO,,1,,,,221.38000000000002,0.04,0
3,2014-01-29 00:00:00,111.75,114.75,111.15,114.5,4713458,HINDALCO,,1,,,,216.8968,0.04,0
4,2014-01-30 00:00:00,108.1,110.7,107.6,110.2,5077231,HINDALCO,,1,,,,212.592928,0.06,0
5,2014-01-31 00:00:00,109.55,110.0,107.0,109.05,8287236,HINDALCO,,1,,,,206.29335232,0.08,0
6,2014-02-03 00:00:00,103.45,109.4,103.0,109.0,5572627,HINDALCO,,1,,,,198.34988413439999,0.1,0
7,2014-02-04 00:00:00,102.45,103.45,99.8,102.0,13935173,HINDALCO,88.43326727764726,1,88.43326727764726,,,188.81489572095998,0.12000000000000001,0
8,2014-02-05 00:00:00,104.25,105.15,101.0,102.4,9106760,HINDALCO,90.03279509373505,1,90.03279509373505,,,178.1331082344448,0.12000000000000001,0
9,2014-02-06 00:00:00,105.75,106.5,103.1,104.65,10194884,HINDALCO,92.29897602420615,1,92.29897602420615,,,168.7331352463114,0.12000000000000001,0
10,2014-02-07 00:00:00,106.4,107.7,104.75,106.15,9650511,HINDALCO,94.38760649964516,1,94.38760649964516,,,160.46115901675404,0.12000000000000001,0
11,2014-02-10 00:00:00,106.8,107.7,105.8,106.45,3124538,HINDALCO,95.98639397545496,1,95.98639397545496,,,153.18181993474354,0.12000000000000001,0
12,2014-02-11 00:00:00,104.55,107.1,104.25,106.9,3964390,HINDALCO,95.98639397545496,1,95.98639397545496,,,146.7760015425743,0.12000000000000001,0
13,2014-02-12 00:00:00,103.5,105.6,103.05,105.15,5325176,HINDALCO,95.98639397545496,1,95.98639397545496,,,141.13888135746538,0.12000000000000001,0
14,2014-02-13 00:00:00,100.2,104.55,99.75,103.9,12652556,HINDALCO,95.98639397545496,1,95.98639397545496,,,136.17821559456954,0.14,0
15,2014-02-14 00:00:00,99.9,101.0,97.85,100.75,6390793,HINDALCO,95.98639397545496,1,95.98639397545496,,,131.0782654113298,0.16,0
16,2014-02-17 00:00:00,98.5,100.75,97.65,100.0,6870442,HINDALCO,95.98639397545496,1,95.98639397545496,,,125.76174294551703,0.18,0
17,2014-02-18 00:00:00,99.3,100.5,97.75,98.7,8475360,HINDALCO,95.98639397545496,1,95.98639397545496,,,120.70162921532396,0.18,0
18,2014-02-19 00:00:00,98.85,100.1,98.4,99.6,4582897,HINDALCO,95.98639397545496,1,95.98639397545496,,,116.55233595656566,0.18,0
19,2014-02-20 00:00:00,97.35,98.55,97.05,98.5,3404267,HINDALCO,95.98639397545496,1,95.98639397545496,,,113.14991548438384,0.19999999999999998,0
